순위,곡명,가수,앨범
1,LOVE ATTACK,RESCENE (리센느),SCENEDROME
2,갑자기,아이오아이 (I.O.I),I.O.I 3rd MINI ALBUM [I.O.I : LOOP]
3,REDRED,CORTIS (코르티스),GREENGREEN
4,LEMONADE,aespa,LEMONADE - The 2nd Album
5,It′s Me,아일릿(ILLIT),MAMIHLAPINATAPAI
6,Pretty Girl,RESCENE (리센느),Pretty Girl - Special Single
7,소문의 낙원,AKMU (악뮤),개화
8,Drowning,WOODZ,OO-LI
9,캐치 캐치,YENA (최예나),LOVE CATCHER
10,RUDE!,Hearts2Hearts (하츠투하츠),RUDE!
11,사랑하게 될 거야,한로로,이상비행
12,Deja Vu,RESCENE (리센느),Dearest
13,만찬가,태연 (TAEYEON),J-POP REMAKE Vol.1
14,"기쁨, 슬픔, 아름다운 마음",AKMU (악뮤),개화
15,0+0,한로로,자몽살구클럽
16,Good Goodbye,화사 (HWASA),Good Goodbye
17,Lemon Tang,Hearts2Hearts (하츠투하츠),Lemon Tang - The 2nd Mini Album
18,Heavy Serenade,NMIXX,Heavy Serenade
19,타임캡슐,다비치,타임캡슐
20,404 (New Era),KiiiKiii (키키),Delulu Pack
21,BAD,ATEEZ(에이티즈),GOLDEN HOUR : Part.5
22,BANG BANG,IVE (아이브),REVIVE+
23,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
24,Popcorn,도경수(D.O.),성장 - THE 3RD MINI ALBUM
25,Blue Valentine,NMIXX,Blue Valentine
26,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘
27,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
28,너에게 닿기를,10CM,너에게 닿기를
29,SWIM,방탄소년단,ARIRANG
30,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1
31,뛰어(JUMP),BLACKPINK,뛰어(JUMP)
32,모르시나요(PROD.로코베리),조째즈,모르시나요
33,생각을 멈추다 보면,최유리,생각을 멈추다 보면
34,Golden,HUNTR/X,KPop Demon Hunters (Soundtrack from the Netflix Film)
35,멸종위기사랑,이찬혁,EROS
