품목분류(HS),HSK품목명,HSK영문명,통제번호
3921199090,기타,Other,1A001.
3920999020,불화폴리이미드로 만든 것,Of fluorine polyimide,1A001.
3920991000,항공기용,For aircrafts,1A001.
9620000000,일각대ㆍ양각대ㆍ삼각대와 이와 유사한 물품,"Monopods, bipods, tripods and similar articles.",1A001.
3920999090,기타,Other,1A001.
3920999010,폴리이미드 필름(리드프레임의 기능을 하는 인쇄회로기판 제조용으로 한정한다),"Polyimides film, for manufacturing Printed Circuit Board with the function of lead frame",1A001.
3921909090,기타,Other,1A001.
8484900000,기타,Other,1A001.
8807100000,프로펠러ㆍ로터(rotor)와 이들의 부분품,Propellers and rotors and parts thereof,1A001.
3917400000,연결구류,Fittings,1A001.a.
3214102000,도장용 충전제,Painters' fillings,1A001.a.
8807302000,헬리콥터의 부분품,"Parts of aeroplanes, helicopters",1A001.a.
3214101080,수지매스틱과 수지시멘트,Resin mastics and cements,1A001.a.
3214101090,기타,Other,1A001.a.
3917400000,연결구류,Fittings,1A001.a.
3214101060,고무를 기본 재료로 한 것,Based on rubber,1A001.a.
3921902000,프로필렌의 중합체로 만든 것,Of polymers of propylene,1A002.
3921199020,폴리아미드로 만든 것,Of polyamides,1A002.
3921191090,기타,Other,1A002.
3921195000,그 밖의 셀룰로오스나 그 화학적 유도체로 만든 것,Of other cellulose or its chemical derivatives,1A002.
3921909020,폴리아미드로 만든 것,Of polyamides,1A002.
9620000000,일각대ㆍ양각대ㆍ삼각대와 이와 유사한 물품,"Monopods, bipods, tripods and similar articles.",1A002.
3921909030,아미노수지로 만든 것,Of amino-resins,1A002.
3921909010,폴리비닐 부티랄로 만든 것,Of polyvinyl butyral,1A002.
3921192010,격리막(이차전지 제조용으로 한정한다),"Separator, for manufacturing secondary battery",1A002.
3921902000,프로필렌의 중합체로 만든 것,Of polymers of propylene,1A002.
8710009000,부분품,Parts,1A002.
6806101000,슬래그 울(slag wool),Slag wool,1A002.
5902100000,나일론이나 그 밖의 폴리아미드로 만든 것,Of nylon or other polyamides,1A002.
3921199020,폴리아미드로 만든 것,Of polyamides,1A002.
3921192010,격리막(이차전지 제조용으로 한정한다),"Separator, for manufacturing secondary battery",1A002.
3921193090,기타,Other,1A002.
3921909030,아미노수지로 만든 것,Of amino-resins,1A002.
9620000000,일각대ㆍ양각대ㆍ삼각대와 이와 유사한 물품,"Monopods, bipods, tripods and similar articles.",1A002.
3921903000,스티렌의 중합체로 만든 것,Of polymers of styrene,1A002.
6806103000,세라믹 파이버,Ceramic fibre,1A002.
3921902000,프로필렌의 중합체로 만든 것,Of polymers of propylene,1A002.
3921199040,페놀수지로 만든 것,Of phenolic resins,1A002.
6806101000,슬래그 울(slag wool),Slag wool,1A002.
3921904020,연질의 것,Flexible,1A002.
9620000000,일각대ㆍ양각대ㆍ삼각대와 이와 유사한 물품,"Monopods, bipods, tripods and similar articles.",1A002.
3921907000,셀룰로오스나 그 화학적 유도체로 만든 것,Of cellulose or its chemical derivatives,1A002.
3921193090,기타,Other,1A002.
3921909020,폴리아미드로 만든 것,Of polyamides,1A002.
